FEMALE,HASCHLD,AFTER_ZT,ARRST_GR,EDUC_GR,AGEGROUP,INPERS,IN57,NONRES,TYPEAREA,RACE_ALL,APP_QTR,EARNY4,TREATMNT
0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,265.18833821935465,0.0
1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,211.835816091187,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,366.50738656264264,0.0
1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,41.85604619854713,0.0
0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,30.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,18.296367590350517,1.0
0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,221.1476900296237,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,671.8080395693237,1.0
0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,333.52172177200475,1.0
1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,225.77975202503092,0.0
0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,328.8401783278387,1.0
1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,160.51654361518706,1.0
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,717.7346690953325,0.0
0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,165.15358964396077,0.0
0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,195.9268406105212,0.0
1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,606.9678286476791,1.0
1.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,146.69410294379924,0.0
1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,411.2058795127623,1.0
